id;informacao;metadados
0;"A Clínica Dente Saudável foi fundada em 2015 e é especializada em odontologia Preventiva.
Nosso consultório conta com 5 modernas salas de atendimento equipadas com tecnologia de ponta. Temos foco em técnicas minimamente invasivas e humanizadas.
Oferecemos TV com streaming em cada sala para conforto dos pacientes. Nossa equipe é composta por 5 dentistas especialistas, 3 auxiliares e 2 recepcionistas treinados para lhe receber com eficiência e cortesia.";Sobre a Clínica
1;Estamos localizados na Avenida Sorriso Branco, 777, no Centro da cidade.;Localização
2;Nosso horário de atendimento é de segunda a sexta, das 8h às 18h, e aos sábados das 8h ao meio-dia.;Horarios de atendimento
3;Aceitamos os planos odontológicos Uniodonto, Sorridente e Saúde Bucal.;Planos odontológicos aceitos
4;"Dentística - tratamentos como restaurações, clareamento dental, aparelho ortodôntico.
Periodontia - tratamento de gengivite, periodontite e doenças na gengiva.
Endodontia - tratamentos de canal.
Odontopediatria - odontologia focada no público infantil.";Especialidades
5;"Consulta inicial
Limpeza
Restauração dentária
Raspagem supragengival e subgengival
Facetas dentais
Clareamento dental
Aparelho ortodôntico
Cirurgias orais menores
Extrações dentárias simples e complexas
Tratamento de canal";Procedimentos
6;"Nossos dentistas especialistas são Dr. João Silva, especializado em Dentística; Dra. Maria Fernandes, especialista em Periodontia; Dr. Carlos Costa, especializado em Endodontia; e Dr. Ana Lúcia, nossa especialista em Odontopediatria.";Equipe de Dentistas
7;Além dos procedimentos listados, também oferecemos implantes dentários, próteses dentárias, coroas e pontes.;Outros Procedimentos
8;Temos um ambiente amigável e acolhedor, com uma sala de espera confortável equipada com TV, revistas e brinquedos para as crianças.;Ambiente
9;Também temos um estacionamento amplo e gratuito para os nossos clientes.;Estacionamento
10;Para sua comodidade, oferecemos a possibilidade de agendamento de consultas online através do nosso site.;Agendamento Online
11;Além dos planos odontológicos citados, também aceitamos pagamento em dinheiro, cartões de débito e crédito, e oferecemos opções de parcelamento.;Formas de Pagamento
12;Estamos comprometidos em proporcionar um atendimento de alta qualidade, focado no bem-estar e satisfação dos nossos pacientes.;Compromisso com a Qualidade
13;Nossas instalações também são totalmente acessíveis, garantindo que todos os nossos pacientes possam receber o atendimento que merecem.;Acessibilidade
14;Também oferecemos atendimento em inglês e espanhol para pacientes que não falam português.;Atendimento Multilíngue
15;Mantemos um canal aberto de comunicação com nossos pacientes através de e-mail e redes sociais, onde compartilhamos informações úteis sobre saúde bucal e respondemos a perguntas.;Comunicação e Redes Sociais
16;Nossa clínica segue rigorosamente todos os protocolos sanitários para garantir a segurança de nossos pacientes e funcionários. Estamos equipados com purificadores de ar e realizamos a limpeza regular de todas as superfícies.;Protocolos Sanitários
17;Oferecemos um programa de lealdade com descontos e benefícios para pacientes frequentes.;Programa de Lealdade
18;Nossa clínica também tem uma área de brinquedos para as crianças se divertirem enquanto esperam.;Área Infantil
19;Para os pacientes que precisam de tratamentos mais extensos, oferecemos planos de financiamento personalizados.;Financiamento
20;Nossa clínica é conhecida por sua abordagem centrada no paciente, onde cada tratamento é personalizado para atender às necessidades individuais de cada paciente.;Abordagem Centrada no Paciente
21;Também realizamos visitas a escolas locais para ensinar as crianças sobre a importância da saúde bucal.;Visitas a Escolas
22;Para pacientes com ansiedade dentária, oferecemos opções de sedação para garantir uma experiência confortável.;Sedação para Ansiedade Dentária
23;Nosso consultório possui um laboratório odontológico no local, o que nos permite oferecer um serviço mais rápido e eficiente.;Laboratório no Local
24;Estamos sempre buscando incorporar as mais recentes inovações em odontologia para oferecer o melhor atendimento possível.;Inovação em Odontologia
